"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]"
1,2.28214533183043,2.32656533307038
2,3.98925653701039,4.01590968384839
3,4.95810707424377,6.17283060840681
4,5.27020580598522,6.38673350734279
5,5.38396141087057,6.49615506481635
6,5.45926889927818,6.57239990558218
7,5.49947523937146,6.6273114225558
8,5.5250906344679,6.66196793966127
9,5.55102626181025,6.68835373033016
10,5.57036504289808,6.70819876306464
11,5.5853427856327,6.72539434580557
12,5.59909982733579,6.73825178051892
13,5.60848973901095,6.74691475955539
14,5.6177705294522,6.75581320192039
15,5.62393871049887,6.76177254265046
